folder_id	status	fs_version	cortical_rows	aseg_rows	qc_status	cache_hit
example-01	OK	7.2.0	1124	45		0
example-02	OK	7.2.0	1124	45		0
example-03	OK	7.2.0	1124	45		0
example-04	OK	7.2.0	1124	45		0
example-05	OK	7.2.0	1124	45		0
example-06	OK	7.2.0	1124	45		0
example-07	OK	7.2.0	1124	45		0
example-08	OK	7.2.0	1124	45		0
example-09	OK	7.2.0	1124	45		0
example-10	OK	7.2.0	1124	45		0
